Title,Serial,Colors,Date,Location
2024 Decathlon Riverside 500,0000 0010 3879,BLUE,OCT 28TH,"WATERLOO, ONTARIO, N2L 3G5, CA"
2021 Norco Bikes Indie 2,B135NX9E029,BLACK,OCT 16TH,"KITCHENER, N2M 3X8, CA"
Wheel speed ebike Ebike,LC20211406,"BLACK, RED, AND WHITE",SEP 22ND,"KITCHENER ONTARIO, N2G 4V6, CA"
Other Wheelspeed,LC20211406,"BLACK, RED, AND WHITE",SEP 22ND,"KITCHENER, N2G 1V6, CA"
2022 Rad Power Bikes Rad Runner,VR1H20V5896,GREEN,SEP 19TH,"KITCHENER, N2G 4V6, CA"
2019 Trek Domane al2,UNKNOWN,BLACK,SEP 9TH,"KITCHENER, N2G 4V6, CA"
Supercycle Scrambler DS Mountain Bike 27.5'',AH21D198868,RED,AUG 10TH,"WATERLOO, N2T, CA"
2023 GT Bicycles LAGUNA PRO,G28358F95LG,BLUE,AUG 1ST,"WATERLOO, N2L 5S7, CA"
2018 Trek Marlin 4,WTU356C095M,"SILVER, GRAY OR BARE METAL AND BLUE",JUL 28TH,"KITCHENER, N2G 4V6, CA"
2023 Trek FX 1 L CH,WTU347XC2051S,BLACK,JUL 10TH,"WATERLOO, N2J 0B7, CA"
2024 Aostirmotor Mountain,FJYK202110486,"SILVER, GRAY OR BARE METAL",JUN 20TH,"WATERLOO, N2G 1V6, CA"
2023 Trek Roscoe 8,WTU151JV5167T,"BLACK, GREEN, AND RED",MAY 28TH,"WATERLOO, ON, CA"
2022 Trek,WTU066JV5239T,BLACK,MAY 4TH,"KITCHENER, N2H 0C9, CA"
2023 GT Bicycles Aggressor Pro,GTFSD22F00712,BLUE,MAY 1ST,"KITCHENER, N2N 0C4, CA"
Devinci jackson,AA0612945,"BLACK AND SILVER, GRAY OR BARE METAL",2023-12-26,"KITCHENER, CA"
KHS Bicycles ZACA,Y13610805,BLACK AND WHITE,2023-12-18,"KITCHENER, N2H 4S4, CA"
2023 Honey Stinger Stinga,R5H3TS209N224060,BLACK,2023-12-15,"KITCHENER, N2M 4E2, CA"
GT Bicycles Agressor,SNMNG11L53259,BLACK,2023-12-13,"KITCHENER, N2A 2H4, CA"
2023 Trek Checkpoint ALR 5 Driftless,WTU091AF0159T,RED,2023-11-26,"WATERLOO, N2L 3E8, CA"
Diadora Orma,Y13J010704,"SILVER, GRAY OR BARE METAL",2023-11-22,"KITCHENER, CA"
2022 Envo D35,HZ2021060495,GREEN,2023-11-03,"WATERLOO, N2L 5J3, CA"
2020 Norco Bikes Katmandoo,UNKNOWN,"SILVER, GRAY OR BARE METAL AND PINK",2023-10-23,"KITCHENER, N2B 3H9, CA"
2018 Specialized SPEC 18 ARIEL BLK SML,WSBC920135973N,BLACK,2023-10-13,"KITCHENER, N2H 0E1, CA"
2023 Norco Bikes 23 XFR 1,V777NX2A026,BROWN,2023-10-12,"KITCHENER, N2H 0E1, CA"
2023 Rad Power Bikes,RR6F21V2583,BLACK,2023-09-12,"KITCHENER, N2G 4M4, CA"
"2020 GT Bicycles GT Transeo Sport, L-size",CM19M556567,BLUE AND RED,2023-08-13,"WATERLOO, N2J 0E9, CA"
2017 Ghost Kato 7,WCR1154045,ORANGE,2023-07-04,"KITCHENER, N2H1R1, US"
2023 Eastern GOTRAX EBE6 E,810066082182,BLACK,2023-07-03,"KITCHENER, N2H 6M7, CA"
2023 Eastern dist centre GOTRAX EBE6,810066082182,BLACK,2023-07-03,"KITCHENER, N2H 6M7, CA"
CCM Apex,L1C0112109,"WHITE, BLACK, AND RED",2023-06-19,"KITCHENER, N2C 1W6, CA"
2023 iGo Electric Bikes Xtreme 3.1,XYCJA6123268,RED,2023-06-11,"KITCHENER, N2C 1W6, CA"
2023 Trek Marlin 5,WTU175JV7790T,RED,2023-06-07,"KITCHENER, N2M 3L9, CA"
2023 Trek Fx1 DISC,WTU077XC3152T,BLACK,2023-06-04,"WATERLOO, N2L 0E9, CA"
2023 Trek Fx1,5258234,BLACK,2023-05-29,"WATERLOO, N2L 3G1, CA"
2020 Felt Felt,UNKNOWN,"BLACK, GREEN, AND WHITE",2023-04-28,"KITCHENER, CA"
2017 Aquila B-Drive,D38C00067,BLACK AND BLUE,2023-01-04,"KITCHENER, N2E 1Z4, CA"
2022 Rad Power Bikes RadRunner Plus,VP1K21V1438,"SILVER, GRAY OR BARE METAL AND BLACK",2022-11-27,"KITCHENER, N2G 1C5, CA"
2020 Trek Dual Sport 1,WTU019XC22967S,BLACK,2022-11-18,"WATERLOO, N2L 3E8, CA"
2017 Kona Cinder Cone,604K0412,ORANGE,2022-11-06,"WATERLOO, N2J 3H6, CA"
Fuji Jari 2.5,WBD039L0142,"SILVER, GRAY OR BARE METAL",2022-10-30,"KITCHENER, N2H 2P2, CA"
2010 Santa Cruz Heckley,A71000561,ORANGE,2022-10-14,"KITCHENER, N2M 2M6, CA"
Northrock XC27,C2ED2592,BLACK AND BLUE,2022-10-11,"KITCHENER, CA"
2021 Rocky Mountain Bicycles Solo 30,RMAJ2012158,BLACK,2022-09-16,"WATERLOO, N2J 2T5, CA"
2019 Srface 604 Surface 604,K16BG02483,WHITE,2022-08-29,"WATERLOO, N2T 2N1, CA"
2022 Trek FX 2 DISC,WTU257XC2471S,BLACK,2022-08-23,"WATERLOO, N2L 0B6, CA"
2010 Trek Skye SL,WTU351C0082E,"SILVER, GRAY OR BARE METAL",2022-08-06,"KITCHENER, CA"
2019 Giant Talon 27.5 1,KX8010535,ORANGE,2022-07-26,"WATERLOO, N2L 3G6, CA"
Norco Bikes Unknown frame,UNKNOWN,BLACK,2022-07-24,"KITCHENER, N2C 2N3, CA"
Nakamura Excursion,Y16K021230,"SILVER, GRAY OR BARE METAL",2022-07-20,"KITCHENER, N2C 2N3, CA"
2021 Cannondale Trail 8,YG69845,BLACK,2022-07-19,"KITCHENER, N2C 0C4, CA"
2015 Nakamura,UNKNOWN,BLACK,2022-07-18,"WATERLOO, N2L 3C7, CA"
2017 Northrock CTM,UNKNOWN,BLACK AND BLUE,2022-07-11,"WATERLOO, N2L 6B6, CA"
Reebok Rush,Y10L016267,BLACK,2022-07-11,"WATERLOO, N2J 1C4, CA"
2013 Diamondback,RCY090110842,"SILVER, GRAY OR BARE METAL",2022-07-07,"WATERLOO, N2J 3H6, CA"
Kona LAVA DOME,IN19060446,BLACK AND TEAL,2022-06-14,"KITCHENER/WATERLOO, N2C 1X1, CA"
2021 Raleigh Overtake 700C Hybrid,ET210112282,"SILVER, GRAY OR BARE METAL",2022-06-12,"WATERLOO, N2L 3V6, CA"
Trek Top Fuel 9.9 SSL,31T80014683,"BLACK, RED, AND WHITE",2022-03-22,"KITCHENER, N2A-2H4, CA"
2015 Opus Sonar,ACJ17LQ05237,BLACK,2022-03-18,"WATERLOO, N2L3T7, CA"
2019 Other Other,K7J0005119,BLACK AND GREEN,2022-03-17,"WATERLOO, CA N2W3L7, CA"
2021 Supercycle 1800 Men's Rigid Bike,7115562,RED,2021-12-13,"WATERLOO, N2L 5R9, CA"
2012 Schwinn Sporterra 1 Mens Disc,UNKNOWN,WHITE AND BLACK,2021-11-03,"WATERLOO, N2L0C5, CA"
2021 KHS Bicycles Vitamin A,M21Y07234,TEAL,2021-10-24,"WATERLOO, N2L3G1, CA"
Trek Alpha,UNKNOWN,WHITE,2021-10-22,"KITCHENER, N2C1W6, CA"
2016 NS Bikes Enduro carbon E1,RF250BK0941,BLACK AND GREEN,2021-10-12,"WATERLOO, N2J 4L6, CA"
2019 Trek Checkpoint AL4,WTU182C5256P,BLUE,2021-09-30,"WATERLOO, N2L3G5, CA"
2021 Trek Dual Sport,DUA23120466D,RED,2021-09-11,"WATERLOO, N2L 3E8, CA"
2020 GT Bicycles,CM17M549820,BLACK AND GREEN,2021-08-26,"KITCHENER, N2H1P1, CA"
2020 Evo,HA18080254,WHITE,2021-08-18,"WATERLOO, N2J 0B3, CA"
2012 SCOTT Foil Contessa,STR10D45212050172X,BLACK,2021-08-14,"KITCHENER, N2A 1B2, CA"
2021 Norco Bikes FS 3,0LE1J63520,BLACK,2021-07-22,"KITCHENER, N2H5V4, CA"
2019 Norco Bikes Storm,HIDDEN BECAUSE BIKE IS FOUND,"STICKERS TAPE OR OTHER COVER-UP, BLACK, AND GREEN",,"KITCHENER, N2G, CA"
2016 Kona Big Honzo DL,BHM7FZ24071,GREEN,2021-07-05,"WATERLOO, N2L 2G7, CA"
2020 Trek FX2 WSD Disc Stagger,WTU241C4063P,TEAL,2021-06-05,"WATERLOO, N2J 2Z8, CA"
2021 Marin Bikes Kentfield,L20008217,BLACK,2021-05-29,"WATERLOO, N2J 2Z1, CA"
Norco Bikes Yorkville,22NCX8I235,PINK,2021-05-25,"WATERLOO, N2J2R6, CA"
2011 Diamondback Unsure,UNKNOWN,"SILVER, GRAY OR BARE METAL",2021-05-15,"WATERLOO, N2L 3T7, CA"
2020 Giant Revolt Advanced,KCEZ02183,WHITE AND RED,2021-04-02,"KITCHENER, CA"
2017 Ghost Kato 29,UNKNOWN,BLACK,2021-03-28,"WATERLOO, N2L 0B6, CA"
2020 Emmo It's a 2020 electric ebike one of it's kind it is black and read,EN080LEM113,RED,2021-03-20,"KITCHENER, N2H1K6, CA"
Mongoose Mongoose full 4130 chromo frame,UNKNOWN,BLACK,2021-02-05,"WATERLOO, N2L3G4, CA"
2019 Subrosa Novuss,RS19071981,BLACK,2020-11-24,"KITCHENER, N2A2H4, CA"
2017 Devinci Troy,840240239,BLACK AND RED,2020-11-01,"KITCHENER ONTARIO, N2E 3L6, CA"
2020 GT Bicycles Agressor Comp,UNKNOWN,RED,2020-09-29,"WATERLOO, N2L 5E8, CA"
2020 Kona Dew Plus,IN20062205,ORANGE,2020-09-05,"WATERLOO, N2L2B4, CA"
2020 Rize Bikes Rize X,LK202040172,RED,2020-08-28,"KITCHENER, N2M 1R9, CA"
2020 CCM Aspen,UNKNOWN,PURPLE,2020-08-24,"KITCHENER, N2M 3X9, CA"
GT Bicycles Aggressor,CM14M532248,BLACK,2020-07-06,"WATERLOO, CA"
Opus Sonar,ACJ17L005254,"SILVER, GRAY OR BARE METAL",2020-06-29,"KITCHENER, N2R 0P2, CA"
Opus Orpheo 3,ICOG18K1072,"SILVER, GRAY OR BARE METAL",2020-06-20,"WATERLOO, N2L 5W6, CA"
Devinci Chameleon,AA30206441,BLUE AND WHITE,2020-06-17,"KITCHENER, CA"
2015 Marin Bikes Bobcat Trail 7.3,HA15241JSE008,WHITE,2020-06-14,"KITCHENER, N2N 3M6, CA"
2011 Giant XTC Advanced SL Frameset,GK975680,WHITE AND RED,2020-06-11,"KITCHENER, CA"
2007 Gary Fisher Wahoo,UNKNOWN,"BLACK AND SILVER, GRAY OR BARE METAL",2020-06-08,"KITCHENER, N2M3H7, CA"
2017 GT Bicycles A7 triple TRIANGLE DESIGN,CM18A504840,"SILVER, GRAY OR BARE METAL AND ORANGE",2020-05-22,"KITCHENER, L1A2A6, CA"
2020 KHS Bicycles Winslow,R18L41328,"BLACK, SILVER, GRAY OR BARE METAL Y WHITE",2020-03-17,"KITCHENER, CA"
2012 Colnago Air,UNKNOWN,BLACK,2020-02-23,"WATERLOO, N2L3G1, CA"
2020 Escape Eternity,UNKNOWN,"RED AND SILVER, GRAY OR BARE METAL",2020-02-19,US
